model_id,domain,arch,scale,distribution,seed,held_out,config,checkpoint,status,notes
maps_mamba_small_noisy_shortest_paths_s2,maps,mamba,small,noisy_shortest_paths,2,yes,configs/runs/maps_mamba_small_noisy_shortest_paths_s2.yaml,checkpoints/maps_mamba_small_noisy_shortest_paths_s2/model.pt,planned,
maps_mamba_small_random_walks_s0,maps,mamba,small,random_walks,0,yes,configs/runs/maps_mamba_small_random_walks_s0.yaml,checkpoints/maps_mamba_small_random_walks_s0/model.pt,planned,
maps_mamba_small_random_walks_s1,maps,mamba,small,random_walks,1,yes,configs/runs/maps_mamba_small_random_walks_s1.yaml,checkpoints/maps_mamba_small_random_walks_s1/model.pt,planned,
maps_mamba_small_random_walks_s2,maps,mamba,small,random_walks,2,yes,configs/runs/maps_mamba_small_random_walks_s2.yaml,checkpoints/maps_mamba_small_random_walks_s2/model.pt,planned,
maps_mamba_medium_shortest_paths_s0,maps,mamba,medium,shortest_paths,0,yes,configs/runs/maps_mamba_medium_shortest_paths_s0.yaml,checkpoints/maps_mamba_medium_shortest_paths_s0/model.pt,planned,
maps_mamba_medium_shortest_paths_s1,maps,mamba,medium,shortest_paths,1,yes,configs/runs/maps_mamba_medium_shortest_paths_s1.yaml,checkpoints/maps_mamba_medium_shortest_paths_s1/model.pt,planned,
maps_mamba_medium_shortest_paths_s2,maps,mamba,medium,shortest_paths,2,yes,configs/runs/maps_mamba_medium_shortest_paths_s2.yaml,checkpoints/maps_mamba_medium_shortest_paths_s2/model.pt,planned,
maps_mamba_medium_noisy_shortest_paths_s0,maps,mamba,medium,noisy_shortest_paths,0,yes,configs/runs/maps_mamba_medium_noisy_shortest_paths_s0.yaml,checkpoints/maps_mamba_medium_noisy_shortest_paths_s0/model.pt,planned,
maps_mamba_medium_noisy_shortest_paths_s1,maps,mamba,medium,noisy_shortest_paths,1,yes,configs/runs/maps_mamba_medium_noisy_shortest_paths_s1.yaml,checkpoints/maps_mamba_medium_noisy_shortest_paths_s1/model.pt,planned,
maps_mamba_medium_noisy_shortest_paths_s2,maps,mamba,medium,noisy_shortest_paths,2,yes,configs/runs/maps_mamba_medium_noisy_shortest_paths_s2.yaml,checkpoints/maps_mamba_medium_noisy_shortest_paths_s2/model.pt,planned,
maps_mamba_medium_random_walks_s0,maps,mamba,medium,random_walks,0,yes,configs/runs/maps_mamba_medium_random_walks_s0.yaml,checkpoints/maps_mamba_medium_random_walks_s0/model.pt,planned,
maps_mamba_medium_random_walks_s1,maps,mamba,medium,random_walks,1,yes,configs/runs/maps_mamba_medium_random_walks_s1.yaml,checkpoints/maps_mamba_medium_random_walks_s1/model.pt,planned,
maps_mamba_medium_random_walks_s2,maps,mamba,medium,random_walks,2,yes,configs/runs/maps_mamba_medium_random_walks_s2.yaml,checkpoints/maps_mamba_medium_random_walks_s2/model.pt,planned,
maps_mamba_large_shortest_paths_s0,maps,mamba,large,shortest_paths,0,yes,configs/runs/maps_mamba_large_shortest_paths_s0.yaml,checkpoints/maps_mamba_large_shortest_paths_s0/model.pt,planned,
maps_mamba_large_shortest_paths_s1,maps,mamba,large,shortest_paths,1,yes,configs/runs/maps_mamba_large_shortest_paths_s1.yaml,checkpoints/maps_mamba_large_shortest_paths_s1/model.pt,planned,
maps_mamba_large_shortest_paths_s2,maps,mamba,large,shortest_paths,2,yes,configs/runs/maps_mamba_large_shortest_paths_s2.yaml,checkpoints/maps_mamba_large_shortest_paths_s2/model.pt,planned,
maps_mamba_large_noisy_shortest_paths_s0,maps,mamba,large,noisy_shortest_paths,0,yes,configs/runs/maps_mamba_large_noisy_shortest_paths_s0.yaml,checkpoints/maps_mamba_large_noisy_shortest_paths_s0/model.pt,planned,
maps_mamba_large_noisy_shortest_paths_s1,maps,mamba,large,noisy_shortest_paths,1,yes,configs/runs/maps_mamba_large_noisy_shortest_paths_s1.yaml,checkpoints/maps_mamba_large_noisy_shortest_paths_s1/model.pt,planned,
maps_mamba_large_noisy_shortest_paths_s2,maps,mamba,large,noisy_shortest_paths,2,yes,configs/runs/maps_mamba_large_noisy_shortest_paths_s2.yaml,checkpoints/maps_mamba_large_noisy_shortest_paths_s2/model.pt,planned,
maps_mamba_large_random_walks_s0,maps,mamba,large,random_walks,0,yes,configs/runs/maps_mamba_large_random_walks_s0.yaml,checkpoints/maps_mamba_large_random_walks_s0/model.pt,planned,
maps_mamba_large_random_walks_s1,maps,mamba,large,random_walks,1,yes,configs/runs/maps_mamba_large_random_walks_s1.yaml,checkpoints/maps_mamba_large_random_walks_s1/model.pt,planned,
maps_mamba_large_random_walks_s2,maps,mamba,large,random_walks,2,yes,configs/runs/maps_mamba_large_random_walks_s2.yaml,checkpoints/maps_mamba_large_random_walks_s2/model.pt,planned,
interpreter_transformer_small_random_s0,interpreter,transformer,small,random,0,yes,configs/runs/interpreter_transformer_small_random_s0.yaml,checkpoints/interpreter_transformer_small_random_s0/model.pt,planned,
interpreter_transformer_small_random_s1,interpreter,transformer,small,random,1,yes,configs/runs/interpreter_transformer_small_random_s1.yaml,checkpoints/interpreter_transformer_small_random_s1/model.pt,planned,
interpreter_transformer_small_random_s2,interpreter,transformer,small,random,2,yes,configs/runs/interpreter_transformer_small_random_s2.yaml,checkpoints/interpreter_transformer_small_random_s2/model.pt,planned,
interpreter_transformer_small_structured_short_s0,interpreter,transformer,small,structured_short,0,yes,configs/runs/interpreter_transformer_small_structured_short_s0.yaml,checkpoints/interpreter_transformer_small_structured_short_s0/model.pt,planned,
interpreter_transformer_small_structured_short_s1,interpreter,transformer,small,structured_short,1,yes,configs/runs/interpreter_transformer_small_structured_short_s1.yaml,checkpoints/interpreter_transformer_small_structured_short_s1/model.pt,planned,
interpreter_transformer_small_structured_short_s2,interpreter,transformer,small,structured_short,2,yes,configs/runs/interpreter_transformer_small_structured_short_s2.yaml,checkpoints/interpreter_transformer_small_structured_short_s2/model.pt,planned,
interpreter_transformer_small_structured_long_s0,interpreter,transformer,small,structured_long,0,yes,configs/runs/interpreter_transformer_small_structured_long_s0.yaml,checkpoints/interpreter_transformer_small_structured_long_s0/model.pt,planned,
interpreter_transformer_small_structured_long_s1,interpreter,transformer,small,structured_long,1,yes,configs/runs/interpreter_transformer_small_structured_long_s1.yaml,checkpoints/interpreter_transformer_small_structured_long_s1/model.pt,planned,
interpreter_transformer_small_structured_long_s2,interpreter,transformer,small,structured_long,2,yes,configs/runs/interpreter_transformer_small_structured_long_s2.yaml,checkpoints/interpreter_transformer_small_structured_long_s2/model.pt,planned,
interpreter_transformer_medium_random_s0,interpreter,transformer,medium,random,0,yes,configs/runs/interpreter_transformer_medium_random_s0.yaml,checkpoints/interpreter_transformer_medium_random_s0/model.pt,planned,
interpreter_transformer_medium_random_s1,interpreter,transformer,medium,random,1,yes,configs/runs/interpreter_transformer_medium_random_s1.yaml,checkpoints/interpreter_transformer_medium_random_s1/model.pt,planned,
interpreter_transformer_medium_random_s2,interpreter,transformer,medium,random,2,yes,configs/runs/interpreter_transformer_medium_random_s2.yaml,checkpoints/interpreter_transformer_medium_random_s2/model.pt,planned,
interpreter_transformer_medium_structured_short_s0,interpreter,transformer,medium,structured_short,0,yes,configs/runs/interpreter_transformer_medium_structured_short_s0.yaml,checkpoints/interpreter_transformer_medium_structured_short_s0/model.pt,planned,
interpreter_transformer_medium_structured_short_s1,interpreter,transformer,medium,structured_short,1,yes,configs/runs/interpreter_transformer_medium_structured_short_s1.yaml,checkpoints/interpreter_transformer_medium_structured_short_s1/model.pt,planned,
interpreter_transformer_medium_structured_short_s2,interpreter,transformer,medium,structured_short,2,yes,configs/runs/interpreter_transformer_medium_structured_short_s2.yaml,checkpoints/interpreter_transformer_medium_structured_short_s2/model.pt,planned,
interpreter_transformer_medium_structured_long_s0,interpreter,transformer,medium,structured_long,0,yes,configs/runs/interpreter_transformer_medium_structured_long_s0.yaml,checkpoints/interpreter_transformer_medium_structured_long_s0/model.pt,planned,
interpreter_transformer_medium_structured_long_s1,interpreter,transformer,medium,structured_long,1,yes,configs/runs/interpreter_transformer_medium_structured_long_s1.yaml,checkpoints/interpreter_transformer_medium_structured_long_s1/model.pt,planned,
interpreter_transformer_medium_structured_long_s2,interpreter,transformer,medium,structured_long,2,yes,configs/runs/interpreter_transformer_medium_structured_long_s2.yaml,checkpoints/interpreter_transformer_medium_structured_long_s2/model.pt,planned,
interpreter_transformer_large_random_s0,interpreter,transformer,large,random,0,yes,configs/runs/interpreter_transformer_large_random_s0.yaml,checkpoints/interpreter_transformer_large_random_s0/model.pt,planned,
interpreter_transformer_large_random_s1,interpreter,transformer,large,random,1,yes,configs/runs/interpreter_transformer_large_random_s1.yaml,checkpoints/interpreter_transformer_large_random_s1/model.pt,planned,
interpreter_transformer_large_random_s2,interpreter,transformer,large,random,2,yes,configs/runs/interpreter_transformer_large_random_s2.yaml,checkpoints/interpreter_transformer_large_random_s2/model.pt,planned,
interpreter_transformer_large_structured_short_s0,interpreter,transformer,large,structured_short,0,yes,configs/runs/interpreter_transformer_large_structured_short_s0.yaml,checkpoints/interpreter_transformer_large_structured_short_s0/model.pt,planned,
interpreter_transformer_large_structured_short_s1,interpreter,transformer,large,structured_short,1,yes,configs/runs/interpreter_transformer_large_structured_short_s1.yaml,checkpoints/interpreter_transformer_large_structured_short_s1/model.pt,planned,
interpreter_transformer_large_structured_short_s2,interpreter,transformer,large,structured_short,2,yes,configs/runs/interpreter_transformer_large_structured_short_s2.yaml,checkpoints/interpreter_transformer_large_structured_short_s2/model.pt,planned,
interpreter_transformer_large_structured_long_s0,interpreter,transformer,large,structured_long,0,yes,configs/runs/interpreter_transformer_large_structured_long_s0.yaml,checkpoints/interpreter_transformer_large_structured_long_s0/model.pt,planned,
interpreter_transformer_large_structured_long_s1,interpreter,transformer,large,structured_long,1,yes,configs/runs/interpreter_transformer_large_structured_long_s1.yaml,checkpoints/interpreter_transformer_large_structured_long_s1/model.pt,planned,
interpreter_transformer_large_structured_long_s2,interpreter,transformer,large,structured_long,2,yes,configs/runs/interpreter_transformer_large_structured_long_s2.yaml,checkpoints/interpreter_transformer_large_structured_long_s2/model.pt,planned,
interpreter_lstm_small_random_s0,interpreter,lstm,small,random,0,yes,configs/runs/interpreter_lstm_small_random_s0.yaml,checkpoints/interpreter_lstm_small_random_s0/model.pt,planned,
interpreter_lstm_small_random_s1,interpreter,lstm,small,random,1,yes,configs/runs/interpreter_lstm_small_random_s1.yaml,checkpoints/interpreter_lstm_small_random_s1/model.pt,planned,
interpreter_lstm_small_random_s2,interpreter,lstm,small,random,2,yes,configs/runs/interpreter_lstm_small_random_s2.yaml,checkpoints/interpreter_lstm_small_random_s2/model.pt,planned,
interpreter_lstm_small_structured_short_s0,interpreter,lstm,small,structured_short,0,yes,configs/runs/interpreter_lstm_small_structured_short_s0.yaml,checkpoints/interpreter_lstm_small_structured_short_s0/model.pt,planned,
interpreter_lstm_small_structured_short_s1,interpreter,lstm,small,structured_short,1,yes,configs/runs/interpreter_lstm_small_structured_short_s1.yaml,checkpoints/interpreter_lstm_small_structured_short_s1/model.pt,planned,
interpreter_lstm_small_structured_short_s2,interpreter,lstm,small,structured_short,2,yes,configs/runs/interpreter_lstm_small_structured_short_s2.yaml,checkpoints/interpreter_lstm_small_structured_short_s2/model.pt,planned,
interpreter_lstm_small_structured_long_s0,interpreter,lstm,small,structured_long,0,yes,configs/runs/interpreter_lstm_small_structured_long_s0.yaml,checkpoints/interpreter_lstm_small_structured_long_s0/model.pt,planned,
interpreter_lstm_small_structured_long_s1,interpreter,lstm,small,structured_long,1,yes,configs/runs/interpreter_lstm_small_structured_long_s1.yaml,checkpoints/interpreter_lstm_small_structured_long_s1/model.pt,planned,
interpreter_lstm_small_structured_long_s2,interpreter,lstm,small,structured_long,2,yes,configs/runs/interpreter_lstm_small_structured_long_s2.yaml,checkpoints/interpreter_lstm_small_structured_long_s2/model.pt,planned,
interpreter_lstm_medium_random_s0,interpreter,lstm,medium,random,0,yes,configs/runs/interpreter_lstm_medium_random_s0.yaml,checkpoints/interpreter_lstm_medium_random_s0/model.pt,planned,
interpreter_lstm_medium_random_s1,interpreter,lstm,medium,random,1,yes,configs/runs/interpreter_lstm_medium_random_s1.yaml,checkpoints/interpreter_lstm_medium_random_s1/model.pt,planned,
interpreter_lstm_medium_random_s2,interpreter,lstm,medium,random,2,yes,configs/runs/interpreter_lstm_medium_random_s2.yaml,checkpoints/interpreter_lstm_medium_random_s2/model.pt,planned,
interpreter_lstm_medium_structured_short_s0,interpreter,lstm,medium,structured_short,0,yes,configs/runs/interpreter_lstm_medium_structured_short_s0.yaml,checkpoints/interpreter_lstm_medium_structured_short_s0/model.pt,planned,
interpreter_lstm_medium_structured_short_s1,interpreter,lstm,medium,structured_short,1,yes,configs/runs/interpreter_lstm_medium_structured_short_s1.yaml,checkpoints/interpreter_lstm_medium_structured_short_s1/model.pt,planned,
interpreter_lstm_medium_structured_short_s2,interpreter,lstm,medium,structured_short,2,yes,configs/runs/interpreter_lstm_medium_structured_short_s2.yaml,checkpoints/interpreter_lstm_medium_structured_short_s2/model.pt,planned,
interpreter_lstm_medium_structured_long_s0,interpreter,lstm,medium,structured_long,0,yes,configs/runs/interpreter_lstm_medium_structured_long_s0.yaml,checkpoints/interpreter_lstm_medium_structured_long_s0/model.pt,planned,
interpreter_lstm_medium_structured_long_s1,interpreter,lstm,medium,structured_long,1,yes,configs/runs/interpreter_lstm_medium_structured_long_s1.yaml,checkpoints/interpreter_lstm_medium_structured_long_s1/model.pt,planned,
interpreter_lstm_medium_structured_long_s2,interpreter,lstm,medium,structured_long,2,yes,configs/runs/interpreter_lstm_medium_structured_long_s2.yaml,checkpoints/interpreter_lstm_medium_structured_long_s2/model.pt,planned,
interpreter_lstm_large_random_s0,interpreter,lstm,large,random,0,yes,configs/runs/interpreter_lstm_large_random_s0.yaml,checkpoints/interpreter_lstm_large_random_s0/model.pt,planned,
interpreter_lstm_large_random_s1,interpreter,lstm,large,random,1,yes,configs/runs/interpreter_lstm_large_random_s1.yaml,checkpoints/interpreter_lstm_large_random_s1/model.pt,planned,
interpreter_lstm_large_random_s2,interpreter,lstm,large,random,2,yes,configs/runs/interpreter_lstm_large_random_s2.yaml,checkpoints/interpreter_lstm_large_random_s2/model.pt,planned,
interpreter_lstm_large_structured_short_s0,interpreter,lstm,large,structured_short,0,yes,configs/runs/interpreter_lstm_large_structured_short_s0.yaml,checkpoints/interpreter_lstm_large_structured_short_s0/model.pt,planned,
interpreter_lstm_large_structured_short_s1,interpreter,lstm,large,structured_short,1,yes,configs/runs/interpreter_lstm_large_structured_short_s1.yaml,checkpoints/interpreter_lstm_large_structured_short_s1/model.pt,planned,
interpreter_lstm_large_structured_short_s2,interpreter,lstm,large,structured_short,2,yes,configs/runs/interpreter_lstm_large_structured_short_s2.yaml,checkpoints/interpreter_lstm_large_structured_short_s2/model.pt,planned,
interpreter_lstm_large_structured_long_s0,interpreter,lstm,large,structured_long,0,yes,configs/runs/interpreter_lstm_large_structured_long_s0.yaml,checkpoints/interpreter_lstm_large_structured_long_s0/model.pt,planned,
interpreter_lstm_large_structured_long_s1,interpreter,lstm,large,structured_long,1,yes,configs/runs/interpreter_lstm_large_structured_long_s1.yaml,checkpoints/interpreter_lstm_large_structured_long_s1/model.pt,planned,
interpreter_lstm_large_structured_long_s2,interpreter,lstm,large,structured_long,2,yes,configs/runs/interpreter_lstm_large_structured_long_s2.yaml,checkpoints/interpreter_lstm_large_structured_long_s2/model.pt,planned,
interpreter_mamba_small_random_s0,interpreter,mamba,small,random,0,yes,configs/runs/interpreter_mamba_small_random_s0.yaml,checkpoints/interpreter_mamba_small_random_s0/model.pt,planned,
interpreter_mamba_small_random_s1,interpreter,mamba,small,random,1,yes,configs/runs/interpreter_mamba_small_random_s1.yaml,checkpoints/interpreter_mamba_small_random_s1/model.pt,planned,
interpreter_mamba_small_random_s2,interpreter,mamba,small,random,2,yes,configs/runs/interpreter_mamba_small_random_s2.yaml,checkpoints/interpreter_mamba_small_random_s2/model.pt,planned,
interpreter_mamba_small_structured_short_s0,interpreter,mamba,small,structured_short,0,yes,configs/runs/interpreter_mamba_small_structured_short_s0.yaml,checkpoints/interpreter_mamba_small_structured_short_s0/model.pt,planned,
interpreter_mamba_small_structured_short_s1,interpreter,mamba,small,structured_short,1,yes,configs/runs/interpreter_mamba_small_structured_short_s1.yaml,checkpoints/interpreter_mamba_small_structured_short_s1/model.pt,planned,
interpreter_mamba_small_structured_short_s2,interpreter,mamba,small,structured_short,2,yes,configs/runs/interpreter_mamba_small_structured_short_s2.yaml,checkpoints/interpreter_mamba_small_structured_short_s2/model.pt,planned,
interpreter_mamba_small_structured_long_s0,interpreter,mamba,small,structured_long,0,yes,configs/runs/interpreter_mamba_small_structured_long_s0.yaml,checkpoints/interpreter_mamba_small_structured_long_s0/model.pt,planned,
interpreter_mamba_small_structured_long_s1,interpreter,mamba,small,structured_long,1,yes,configs/runs/interpreter_mamba_small_structured_long_s1.yaml,checkpoints/interpreter_mamba_small_structured_long_s1/model.pt,planned,
interpreter_mamba_small_structured_long_s2,interpreter,mamba,small,structured_long,2,yes,configs/runs/interpreter_mamba_small_structured_long_s2.yaml,checkpoints/interpreter_mamba_small_structured_long_s2/model.pt,planned,
interpreter_mamba_medium_random_s0,interpreter,mamba,medium,random,0,yes,configs/runs/interpreter_mamba_medium_random_s0.yaml,checkpoints/interpreter_mamba_medium_random_s0/model.pt,planned,
interpreter_mamba_medium_random_s1,interpreter,mamba,medium,random,1,yes,configs/runs/interpreter_mamba_medium_random_s1.yaml,checkpoints/interpreter_mamba_medium_random_s1/model.pt,planned,
interpreter_mamba_medium_random_s2,interpreter,mamba,medium,random,2,yes,configs/runs/interpreter_mamba_medium_random_s2.yaml,checkpoints/interpreter_mamba_medium_random_s2/model.pt,planned,
interpreter_mamba_medium_structured_short_s0,interpreter,mamba,medium,structured_short,0,yes,configs/runs/interpreter_mamba_medium_structured_short_s0.yaml,checkpoints/interpreter_mamba_medium_structured_short_s0/model.pt,planned,
interpreter_mamba_medium_structured_short_s1,interpreter,mamba,medium,structured_short,1,yes,configs/runs/interpreter_mamba_medium_structured_short_s1.yaml,checkpoints/interpreter_mamba_medium_structured_short_s1/model.pt,planned,
interpreter_mamba_medium_structured_short_s2,interpreter,mamba,medium,structured_short,2,yes,configs/runs/interpreter_mamba_medium_structured_short_s2.yaml,checkpoints/interpreter_mamba_medium_structured_short_s2/model.pt,planned,
interpreter_mamba_medium_structured_long_s0,interpreter,mamba,medium,structured_long,0,yes,configs/runs/interpreter_mamba_medium_structured_long_s0.yaml,checkpoints/interpreter_mamba_medium_structured_long_s0/model.pt,planned,
interpreter_mamba_medium_structured_long_s1,interpreter,mamba,medium,structured_long,1,yes,configs/runs/interpreter_mamba_medium_structured_long_s1.yaml,checkpoints/interpreter_mamba_medium_structured_long_s1/model.pt,planned,
interpreter_mamba_medium_structured_long_s2,interpreter,mamba,medium,structured_long,2,yes,configs/runs/interpreter_mamba_medium_structured_long_s2.yaml,checkpoints/interpreter_mamba_medium_structured_long_s2/model.pt,planned,
interpreter_mamba_large_random_s0,interpreter,mamba,large,random,0,yes,configs/runs/interpreter_mamba_large_random_s0.yaml,checkpoints/interpreter_mamba_large_random_s0/model.pt,planned,
interpreter_mamba_large_random_s1,interpreter,mamba,large,random,1,yes,configs/runs/interpreter_mamba_large_random_s1.yaml,checkpoints/interpreter_mamba_large_random_s1/model.pt,planned,
interpreter_mamba_large_random_s2,interpreter,mamba,large,random,2,yes,configs/runs/interpreter_mamba_large_random_s2.yaml,checkpoints/interpreter_mamba_large_random_s2/model.pt,planned,
interpreter_mamba_large_structured_short_s0,interpreter,mamba,large,structured_short,0,yes,configs/runs/interpreter_mamba_large_structured_short_s0.yaml,checkpoints/interpreter_mamba_large_structured_short_s0/model.pt,planned,
interpreter_mamba_large_structured_short_s1,interpreter,mamba,large,structured_short,1,yes,configs/runs/interpreter_mamba_large_structured_short_s1.yaml,checkpoints/interpreter_mamba_large_structured_short_s1/model.pt,planned,
interpreter_mamba_large_structured_short_s2,interpreter,mamba,large,structured_short,2,yes,configs/runs/interpreter_mamba_large_structured_short_s2.yaml,checkpoints/interpreter_mamba_large_structured_short_s2/model.pt,planned,
interpreter_mamba_large_structured_long_s0,interpreter,mamba,large,structured_long,0,yes,configs/runs/interpreter_mamba_large_structured_long_s0.yaml,checkpoints/interpreter_mamba_large_structured_long_s0/model.pt,planned,
interpreter_mamba_large_structured_long_s1,interpreter,mamba,large,structured_long,1,yes,configs/runs/interpreter_mamba_large_structured_long_s1.yaml,checkpoints/interpreter_mamba_large_structured_long_s1/model.pt,planned,
interpreter_mamba_large_structured_long_s2,interpreter,mamba,large,structured_long,2,yes,configs/runs/interpreter_mamba_large_structured_long_s2.yaml,checkpoints/interpreter_mamba_large_structured_long_s2/model.pt,planned,
