model_id,domain,arch,scale,distribution,seed,held_out,config,checkpoint,status,notes
othello_lstm_small_championship_s0,othello,lstm,small,championship,0,no,configs/runs/othello_lstm_small_championship_s0.yaml,checkpoints/othello_lstm_small_championship_s0/model.pt,planned,
othello_lstm_small_championship_s1,othello,lstm,small,championship,1,no,configs/runs/othello_lstm_small_championship_s1.yaml,checkpoints/othello_lstm_small_championship_s1/model.pt,planned,
othello_lstm_small_championship_s2,othello,lstm,small,championship,2,no,configs/runs/othello_lstm_small_championship_s2.yaml,checkpoints/othello_lstm_small_championship_s2/model.pt,planned,
othello_lstm_small_mixed_s0,othello,lstm,small,mixed,0,no,configs/runs/othello_lstm_small_mixed_s0.yaml,checkpoints/othello_lstm_small_mixed_s0/model.pt,planned,
othello_lstm_small_mixed_s1,othello,lstm,small,mixed,1,no,configs/runs/othello_lstm_small_mixed_s1.yaml,checkpoints/othello_lstm_small_mixed_s1/model.pt,planned,
othello_lstm_small_mixed_s2,othello,lstm,small,mixed,2,no,configs/runs/othello_lstm_small_mixed_s2.yaml,checkpoints/othello_lstm_small_mixed_s2/model.pt,planned,
othello_lstm_medium_synthetic_s0,othello,lstm,medium,synthetic,0,no,configs/runs/othello_lstm_medium_synthetic_s0.yaml,checkpoints/othello_lstm_medium_synthetic_s0/model.pt,planned,
othello_lstm_medium_synthetic_s1,othello,lstm,medium,synthetic,1,no,configs/runs/othello_lstm_medium_synthetic_s1.yaml,checkpoints/othello_lstm_medium_synthetic_s1/model.pt,planned,
othello_lstm_medium_synthetic_s2,othello,lstm,medium,synthetic,2,no,configs/runs/othello_lstm_medium_synthetic_s2.yaml,checkpoints/othello_lstm_medium_synthetic_s2/model.pt,planned,
othello_lstm_medium_championship_s0,othello,lstm,medium,championship,0,no,configs/runs/othello_lstm_medium_championship_s0.yaml,checkpoints/othello_lstm_medium_championship_s0/model.pt,planned,
othello_lstm_medium_championship_s1,othello,lstm,medium,championship,1,no,configs/runs/othello_lstm_medium_championship_s1.yaml,checkpoints/othello_lstm_medium_championship_s1/model.pt,planned,
